SAE Question,AAVE Question
Who was the musician born in Detroit?,who a musician born in Detroit
"In what language was the movie ""Mera Shikar"" filmed?",what’s da language dat mera shikar was filmed in?
What is the name of a battle that happened in Chicago?,Wat's da name of a battle dat happened in Chicago?
Which player plays the position of midfielder?,Wha player play da position midfielder?
What position did Mike Twellman play?,wat position Mike Twellman play?
List some music films.,list some music films
What was Ellen Swallow Richards's nationality?,what is ellen swallow richards's nationality?
What language does the show Elementary broadcast in?,Wha language da show Elementary broadcast in?
What is the gender of James Hendry?,What’s da gender of James Hendry?
Who was the voice actor?,who was a voice actor?
What is a member of the 1893 Jakobaeus asteroid group?,What’s a member of da 1893 jakoba asteroid group?
What artist included Black Star at the point of darkness in his work?,What artist include black star at da point of darkness in his work?
Name an album by Serge Gainsbourg.,Name an album by Serge Gainsbourg.
What is a book by Laura Ingalls Wilder?,what's a book by laura ingalls wilder
Who was the cinematographer for the film Endless Love?,Who was da cinematographer for da film Endless Love?
What is a documentary film about the media?,what's a documentary film 'bout da media
What musical genre did the person create?,what musical genre bruh create
What sport does the Notre Dame Fighting Irish men's basketball team play?,What sport do Notre Dame Fighting Irish men’s basketball play?
Where was Rudi Ball born in Germany?,Where in Germany Rudi Ball born at?
What time zone is Marrakech in?,What time zone Marrakech in?
"Which country was Harry Blackstone, Jr. from?","which country Harry Blackstone, Jr. come from?"
What is Valeria Richards's gender?,what Valeria Richards's gender?
What movie did Liliana Cavani direct?,What movie Liliana Cavani direct?
What kind of video game is Dog Island?,What kinda video game is da dog island?
Who made the loves of the gods?,who made da loves of da gods
What did Jane Austen write?,What Jane Austen write?
What is Estella Warren's nationality?,What is Estella Warren's nationality?
What is a second-level division of Turkey?,Wha is a second level division of Turkey?
What gender does Eugênio Sales identify as?,what gender Eugênio Sales identify as
Name a person who was born in Chicago.,Name a person born in Chicago.
Who is the artist on Seven Wishes?,Who da artist on seven wishes?
Who wrote the music for Gangs of New York?,who wrote da music for Gangs of New York
What is Sophie Merry's gender?,What’s da gender of Sophie Merry?
What is an episode written by Michelle Ashford?,what's an episode wrote by michelle ashford
What movies did Francis Ford Coppola contribute music to?,What movies Francis Ford Coppola done contributed music to?
What is the main ideology of the Communist Party of Britain?,wat's da main ideology of da communist party of britain?
What former basketball player played the center position?,what former basketball player played da center position
Who wrote the film Thunderbolt and Lightfoot?,Who wrote dat film Thunderbolt and Lightfoot?
Where in the United States was John Morris Russell born?,where in da united states was john morris russell born
What is Imam Mustafayev's gender?,what's imam mustafayev's gender?
What is Fausto Fawcett's gender?,what's fausto fawcett's gender?
What kind of film is Generation Kill?,what kinda film is generation kill
"Which county has jurisdiction over Chokoloskee, Florida?","Wha county got jurisdiction ovah Chokoloskee, Florida?"
Which country is John Berry from?,which country John Berry from?
What kind of book is home?,Wha kinda book is home?
In what country do cosmic rays originate?,What country cosmic ray from?
What is the administrative capital of Zou?,What's da administrative child of zou?
What is Alan Pierson's gender?,What’s Alan Pierson's gender?
What was Franz Roh's nationality?,What was Franz Roh's nationality?
What is a city located in Huron County?,wha's a city located in Huron County?
What is an example of a documentary film?,What’s an example of a documentary film?
Which actor was born in Lodz?,Wha actor was born in Lodz?
Which asteroid group is the asteroid 8668 Satomimura a member of?,what member of asteroid group is 8668 satomimura part of
What gender was Elizabeth Malecki?,What gender Elizabeth Malecki be?
Where was James Gillespie buried?,where James Gillespie get buried at
Who was born in Pittsburgh?,who was born in pittsburgh
What gender did Lannie Balcom identify as?,Lannie Balcom self-identify as what gender?
What position did Robert Williams play in American football?,which position Robert Williams play in American football
Who is a musician who plays the guitar?,who is a musician dat play the guitar
"Who wrote the book ""The City in the Autumn Stars""?","Who wrote da book ""The City in da Autumn Stars""?"
"Who was a parent of John of Gaunt, 1st Duke of Lancaster?","Who was a parent of John of Gaunt, 1st Duke of Lancaster?"
What nationality is Chris Cash?,chris cash is what kinda nationality
"In what language is the film ""The Law is the Law"" spoken?",in what language da law is da law film spoken
Who found Dahlgren 6945?,who found 6945 dahlgren
Where is Frederick Baldwin Adams from?,Where Frederick Baldwin Adams from?
Who is a Hungarian model?,Who a Hungarian model?
What is Joshua Smith's gender?,what's joshua smith's gender?
What label was Rapture Ruckus signed to?,Wha label Rapture Ruckus signed to?
Which film did Rob Schmidt direct?,Which film did Rob Schmidt direct?
Name a person who was born in Montilla.,Name a person born in Montilla.
Who was the director of Mr. Hankey's Christmas Classics?,who was da director of mr. hankey's christmas classics
Where is Ottilie from?,Where Ottilie from?
Name someone who was born in Mytilene.,Name somebody who was born in Mytilene.
What is a film in the drama genre?,what's a film in da genre drama
Which series had a pilot episode?,Which series got a pilot episode?
What is a horror film?,Wha a horror film?
In what country does the film Stealing a Nation take place?,what country da film Stealing a Nation take place in
What type of music genre does Carlos Johnson play in?,which type of music genre Carlos Johnson play in?
In which town was Thomas Sully born?,Which town was Thomas Sully born in?
What position did Kelly Shoppach play in baseball?,What position Kelly Shoppach play in baseball?
What kind of movie is Dracula?,What kinda movie is Dracula?
"Who is the politician who is the founder and chairperson of Queens University, Bangladesh?","What is a politician dat’s founder and chairperson of Queens University, Bangladesh?"
What language is spoken in the film Life Goes On?,Wha language be spoken in da film Life Goes On?
Who was Bob Woodward's parent?,Who be da parent of Bob Woodward?
What kind of game is Knight Lore?,what kinda game is knight lore
What film did Gregory La Cava direct?,What film Gregory La Cava direct?
Which artist plays Celtic rock?,Wha artist make Celtic rock?
Where was Barbara Cook born?,Wha's da place where Barbara Cook was born?
What is Claire Stansfield's nationality?,Wha' Claire Stansfield's nationality?
What was the cause of death for Michel Simon?,What was the cause of death for Michel Simon?
What is Antonio Banderas' nationality?,What’s Antonio Banderas’ nationality?
Which country is Willi Wild from?,which country Willi Wild from
What sport is Cruzeiro Esporte Clube a part of?,What sport is criciúma esporte clube a part of?
Is Adario a strange male or female?,is Adario strange male or female?
Who was someone born in Wittlich?,Who be someone born in Wittlich?
Which historical figure was killed by smallpox?,which historical figure got killed by smallpox
What genre is the film on the nickel?,what genre da film on da nickel?
