,AAVE Question,SAE Question,SPARQL,Results,Attempts,names
0,What time zone Salt Lake City in?,What time zone is Salt Lake City in?,"SELECT ?timeZone ?timeZoneLabel WHERE {
  wd:Q23337 wdt:P421 ?timeZone.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['timeZone', 'timeZoneLabel']}, 'results': {'bindings': [{'timeZone': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2212'}, 'timeZoneLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'UTC−07:00'}}, {'timeZone': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3134980'}, 'timeZoneLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mountain Time Zone'}}]}}",1,UTC−07:00
1,Who killed Caesar?,Who killed Caesar?,"SELECT ?killer ?killerLabel WHERE {
  wd:Q1048 wdt:P157 ?killer.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['killer', 'killerLabel']}, 'results': {'bindings': [{'killer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q172248'}, 'killerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Marcus Junius Brutus'}}, {'killer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q207370'}, 'killerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gaius Cassius Longinus'}}, {'killer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q294846'}, 'killerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Decimus Junius Brutus Albinus'}}, {'killer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1228715'}, 'killerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Tillius Cimber'}}, {'killer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1243545'}, 'killerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Publius Servilius Casca'}}]}}",1,Marcus Junius Brutus
2,Wat's da highest mountain in Germany?,What is the highest mountain in Germany?,"SELECT ?item ?itemLabel ?elevation WHERE {
  ?item wdt:P31/wdt:P279* ?type;
        wdt:P17 wd:Q183;
        wdt:P2044 ?elevation.
  VALUES ?type { wd:Q8502 wd:Q33515 }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?elevation)
LIMIT 1","{'head': {'vars': ['item', 'itemLabel', 'elevation']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q136722681'}, 'elevation': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '4562'}, 'itemLabel': {'type': 'literal', 'value': 'Q136722681'}}]}}",1,Q136722681
3,Which American presidents was in office durin' da Vietnam War?,Which American presidents were in office during the Vietnam War?,"SELECT DISTINCT ?person ?personLabel WHERE {
  wd:Q8740 wdt:P580 ?warStart; wdt:P582 ?warEnd.
  ?person p:P39 ?statement.
  ?statement ps:P39 wd:Q11696;
             pq:P580 ?start;
             pq:P582 ?end.
  FILTER(?start <= ?warEnd && ?end >= ?warStart)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9696'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'John F. Kennedy'}}, {'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9588'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Richard Nixon'}}, {'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9916'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Dwight D. Eisenhower'}}, {'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9640'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Lyndon B. Johnson'}}, {'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9582'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gerald Ford'}}]}}",1,John F. Kennedy
4,Butch Otter the governor of which U.S. state?,Which U.S. state was Butch Otter the governor of?,"SELECT DISTINCT ?state ?stateLabel WHERE {
  ?person rdfs:label ""Butch Otter""@en.
  ?person wdt:P39 ?office.
  ?office wdt:P1001 ?state.
  ?state wdt:P31 wd:Q35657.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['state', 'stateLabel']}, 'results': {'bindings': [{'state': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1221'}, 'stateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Idaho'}}]}}",1,Idaho
5,Which artists was born on da same date as Rachel Stevens?,Which artists were born on the same date as Rachel Stevens?,"SELECT DISTINCT ?artist ?artistLabel WHERE {
  ?rachel rdfs:label ""Rachel Stevens""@en;
          wdt:P31 wd:Q5;
          wdt:P106/wdt:P279* wd:Q177220;
          wdt:P569 ?dob.
  ?artist wdt:P31 wd:Q5;
          wdt:P106/wdt:P279* wd:Q483501;
          wdt:P569 ?dob.
  FILTER(?artist != ?rachel)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['artist', 'artistLabel']}, 'results': {'bindings': [{'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q124656004'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ralf Gessler'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4653445'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'AP'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q128840418'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mister TK'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q129167554'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Asaf Galay'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9364870'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Chen Yu'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q133371507'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Luca Bellino'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q16139169'}, 'artistLabel': {'type': 'literal', 'value': 'Q16139169'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q95210650'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nina Vukovic'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4388123'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Takashi Ōhara'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q98538749'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Julien Roturier'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q11473351'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Fumihiro Okabayashi'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q11587490'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mami Sunada'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q11589525'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Misa Kamiyama'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3274687'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kousei Amano'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q13034715'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Emo Adams'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2441062'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Petra Kagchelland'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2519431'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jelle Brandt Corstius'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2735138'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Cameron Cartio'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q15965067'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Matt Pavolka'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q466435'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Vesna Pisarović'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4717039'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Alex Gaumond'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q19737612'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ario Rubbik'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q20021106'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Salva Reina'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6147129'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jamie Little'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2515323'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Verena Kringe'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43963991'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Vidal Aragonés i Chicharro'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q85775078'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kuldeep Singh'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q76370382'}, 'artistLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Andreas Bøggild Monies'}}, {'artist': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q133450630'}, 'artistLabel': {'type': 'literal', 'value': 'Q133450630'}}]}}",1,Ralf Gessler
6,What Frank Herbert do for a livin'?,What did Frank Herbert do for a living?,"SELECT DISTINCT ?occupation ?occupationLabel WHERE {
  VALUES ?article { <https://en.wikipedia.org/wiki/Frank_Herbert> }
  ?article schema:about ?person.
  ?person wdt:P31 wd:Q5;
          wdt:P106 ?occupation.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['occupation', 'occupationLabel']}, 'results': {'bindings': [{'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1930187'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'journalist'}}, {'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6625963'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'novelist'}}, {'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q12144794'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'prose writer'}}, {'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18844224'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'science fiction writer'}}, {'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q36180'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'writer'}}, {'occupation': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q33231'}, 'occupationLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'photographer'}}]}}",1,journalist
7,How many seats the home stadium of FC Porto got?,How many seats does the home stadium of FC Porto have?,"SELECT ?capacity WHERE {
  ?club rdfs:label ""FC Porto""@en.
  ?club wdt:P115 ?stadium.
  ?stadium wdt:P1083 ?capacity.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['capacity']}, 'results': {'bindings': [{'capacity': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '50033'}}, {'capacity': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '2115'}}]}}",1,50033
8,Which frequent flyer program got da most airlines?,Which frequent flyer program has the most airlines?,"SELECT ?program ?programLabel (COUNT(DISTINCT ?airline) AS ?airlineCount) WHERE {
  ?program wdt:P31 wd:Q586393.
  ?program wdt:P137 ?airline.
  ?airline wdt:P31/wdt:P279* wd:Q46970.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?program ?programLabel
ORDER BY DESC(?airlineCount)
LIMIT 1","{'head': {'vars': ['program', 'programLabel', 'airlineCount']}, 'results': {'bindings': []}}",1,
9,Which European countries got a constitutional monarchy?,Which European countries have a constitutional monarchy?,"SELECT DISTINCT ?country ?countryLabel WHERE {
  ?country wdt:P31 wd:Q3624078;
           wdt:P30 wd:Q46;
           wdt:P122 ?gov.
  ?gov wdt:P279* ?cm.
  ?cm rdfs:label ""constitutional monarchy""@en.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?countryLabel","{'head': {'vars': ['country', 'countryLabel']}, 'results': {'bindings': [{'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q228'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Andorra'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q31'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Belgium'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q756617'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kingdom of Denmark'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q29999'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kingdom of the Netherlands'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q347'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Liechtenstein'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q32'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Luxembourg'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q235'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Monaco'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q20'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Norway'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q29'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Spain'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q34'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sweden'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q145'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'United Kingdom'}}, {'country': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q237'}, 'countryLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Vatican City'}}]}}",1,Andorra
