AAVE Question,SAE Question
What da seventh tallest mountain in North America?,What is the seventh tallest mountain in North America?
"Which actor was da star of Titanic and was born in Los Angeles, California?","Which actor was the star of Titanic and was born in Los Angeles, California?"
Which actor starred in Vanilla Sky and was married to Katie Holmes?,Which actor starred in Vanilla Sky and was married to Katie Holmes?
What year da first book of A Song of Ice and Fire series come out?,In what year was the first book of the A Song of Ice and Fire series released?
Who da youngest current US governor?,Who is the youngest current U.S. governor?
Which US president got da most votes?,Which U.S. president received the most votes?
How long it take to build da Lincoln Memorial?,How long did it take to build the Lincoln Memorial?
Has Bernie Sanders ever been president of the United States?,Has Bernie Sanders ever been president of the United States?
Which actor was Stephenie Meyer’s first pick to play Edward Cullen in da movie Twilight?,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?
How old was Taylor Swift when she won her first Grammy?,How old was Taylor Swift when she won her first Grammy?
Which river longer than da Mississippi River?,Which river is longer than the Mississippi River?
How old is da singer of The Dance?,How old is the singer of The Dance?
What da latest US state to get in da union dat ain't Hawaii?,What was the latest U.S. state to join the union that isn't Hawaii?
Wha's da longest lake in da world?,What is the longest lake in the world?
How many teams Matthew Stafford done played for?,How many teams has Matthew Stafford played for?
Where da singer of Genie in a Bottle born at?,"Where was the singer of ""Genie in a Bottle"" born?"
When Metallica drop dey fourth album?,When did Metallica release their fourth album?
"Which series older, Metroid or Super Mario Bros?","Which series is older, Metroid or Super Mario Bros?"
In which Super Mario Land game you don’t play as Mario?,In which Super Mario Land game do you not play as Mario?
Is Texas da largest state in da US?,Is Texas the largest state in the US?
How many times da Los Angeles Dodgers lost da World Series?,How many times did the Los Angeles Dodgers lose the World Series?
Who was da president of Argentina from '89 to '99?,Who was the president of Argentina from 1989 to 1999?
"Who was a member of da 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Who was a member of the 2004 U.S. Olympic men's swim team and was born in Baltimore, Maryland?"
