AAVE Question,SAE Question
What time zone Salt Lake City in?,What time zone is Salt Lake City in?
Who killed Caesar?,Who killed Caesar?
Wat's da highest mountain in Germany?,What is the highest mountain in Germany?
Which American presidents was in office durin' da Vietnam War?,Which American presidents were in office during the Vietnam War?
Butch Otter the governor of which U.S. state?,Which U.S. state was Butch Otter the governor of?
Which artists was born on da same date as Rachel Stevens?,Which artists were born on the same date as Rachel Stevens?
What Frank Herbert do for a livin'?,What did Frank Herbert do for a living?
How many seats the home stadium of FC Porto got?,How many seats does the home stadium of FC Porto have?
Which frequent flyer program got da most airlines?,Which frequent flyer program has the most airlines?
Which European countries got a constitutional monarchy?,Which European countries have a constitutional monarchy?
Which countries got places wit more than two caves?,Which countries have places with more than two caves?
"Which airports be in California, USA?","Which airports are in California, USA?"
Wha's Angela Merkel's birth name?,What is Angela Merkel's birth name?
Who the mayor of Berlin?,Who is the mayor of Berlin?
Which countries in da European Union adopted da Euro?,Which countries in the European Union adopted the Euro?
Which country Bill Gates born in?,In which country was Bill Gates born?
How many grandkids Jacques Cousteau have?,How many grandchildren does Jacques Cousteau have?
Gimme all da professional skateboarders from Sweden.,Give me all the professional skateboarders from Sweden.
Which monarchs of da United Kingdom was married to a German?,Which monarchs of the United Kingdom were married to a German?
Gimme all da Argentine films.,Give me all the Argentine films.
How Michael Jackson die?,How did Michael Jackson die?
Which U.S. state been admitted latest?,Which U.S. state was admitted most recently?
Which classes da Millepede belong to?,Which classes does the Millipede belong to?
Give me da homepage of Forbes.,Give me the homepage of Forbes.
Who be da husband of Amanda Palmer?,Who was the husband of Amanda Palmer?
Who painted The Storm on da Sea of Galilee?,Who painted The Storm on the Sea of Galilee?
What the highest place of Karakoram?,What is the highest place in the Karakoram?
When Finland join da EU?,When did Finland join the EU?
Which actors be playin in Big Bang Theory?,Which actors are playing in The Big Bang Theory?
Which computer scientist won a Oscar?,Which computer scientist won an Oscar?
Who wrote Harry Potter?,Who wrote Harry Potter?
Gimme all da writers dat won da Nobel Prize in literature.,Give me all the writers who won the Nobel Prize in Literature.
Gimme English actors starin' in Lovesick.,Give me English actors starring in Lovesick.
In which city the president of Montenegro born?,In which city was the president of Montenegro born?
Which U.S. state got the highest population density?,Which U.S. state has the highest population density?
Wha’s da longest river in China?,What is the longest river in China?
What’s da area code fo’ Berlin?,What is the area code for Berlin?
How many scientists graduated from an Ivy League school?,How many scientists graduated from an Ivy League school?
Which professional surfers was born in Australia?,Which professional surfers were born in Australia?
Gimme all da Dutch parties.,Give me all the Dutch parties.
How many moons Mars got?,How many moons does Mars have?
Wha Batman's real name?,What is Batman's real name?
What Elon Musk famous for?,What is Elon Musk famous for?
Who da author of WikiLeaks?,Who is the author of WikiLeaks?
When Carlo Giuliani get shot?,When did Carlo Giuliani get shot?
Who was President Lincoln wife?,Who was President Lincoln's wife?
How many awards Bertrand Russell got?,How many awards did Bertrand Russell win?
Is Pamela Anderson a vegan?,Is Pamela Anderson a vegan?
Which space probes was sent into orbit 'round the sun?,Which space probes were sent into orbit around the sun?
"Which German cities got more than 250,000 folks?","Which German cities have a population of more than 250,000?"
Who the daughter of Robert Kennedy married to?,Who was the daughter of Robert Kennedy married to?
How many students the Free University of Amsterdam got?,How many students does the Free University of Amsterdam have?
What’s da revenue of IBM?,What is the revenue of IBM?
How many James Bond movies be out there?,How many James Bond movies have been released?
Who do the voice of Bart Simpson?,Who does the voice of Bart Simpson?
Who was Tom Hanks married to?,Who was Tom Hanks married to?
Through which countries do da Yenisei river flow?,Through which countries does the Yenisei River flow?
Gimme all da cars dat's produced in Germany.,Give me all the cars that are produced in Germany.
When Michael Jackson die?,When did Michael Jackson die?
Wha's da highest volcano in Africa?,What is the highest volcano in Africa?
Which poet wrote da most books?,Which poet wrote the most books?
Gimme all da spacecrafts dat flew to Mars.,Give me all the spacecrafts that flew to Mars.
Show me all da Czech movies.,Show me all the Czech movies.
Give me all da taikonauts.,Give me all the astronauts.
Which countries got mo' than ten volcanoes?,Which countries have more than ten volcanoes?
Gimme all da movies wit Tom Cruise.,Give me all the movies with Tom Cruise.
When Dracula's creator die?,When did Dracula's creator die?
Who made English Wikipedia?,Who created English Wikipedia?
Gimme all da female German chancellors.,Give me all the female German chancellors.
Who own Aldi?,Who owns Aldi?
Which books was wrote by Danielle Steel?,Which books were written by Danielle Steel?
Who was influenced by Socrates?,Who was influenced by Socrates?
How deep Lake Chiemsee?,How deep is Lake Chiemsee?
Which companies work in da aerospace industry an' in medicine too?,Which companies work in the aerospace industry and in medicine too?
Which professional surfers was born on da Philippines?,Which professional surfers were born in the Philippines?
Who was Queen Victoria's parents?,Who were Queen Victoria's parents?
Is dere any castles in da United States?,Are there any castles in the United States?
Wich languages be spoken in Estonia?,What languages are spoken in Estonia?
Gimme a list of all da critically endangered birds.,Give me a list of all the critically endangered birds.
Which countries connected by da Rhine?,Which countries are connected by the Rhine?
Who was da daddy of Queen Elizabeth II?,Who was the father of Queen Elizabeth II?
Gimme all da chemical elements.,Give me all the chemical elements.
Gimme all da American presidents from da last 20 years.,Give me all the American presidents from the last 20 years.
When dat movie Worst Case Scenario gon' be in cinemas in da Netherlands?,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?
Who Lance Bass marry?,Who did Lance Bass marry?
What languages be spoken in Pakistan?,What languages are spoken in Pakistan?
Who dat daughter of Bill Clinton married to?,Who was the daughter of Bill Clinton married to?
Who was on da Apollo 11 mission?,Who was on the Apollo 11 mission?
Gimme all da B-sides of da Ramones.,What are all the B-sides of the Ramones?
Who was called Scarface?,Who was known as Scarface?
Which rivers flow into da North Sea?,Which rivers flow into the North Sea?
Whar Fort Knox at?,Where is Fort Knox located?
Which daughters of British earls died at da same place dey was born at?,Which daughters of British earls died at the same place where they were born?
How many emperors China had?,How many emperors has China had?
What da names of da Teenage Mutant Ninja Turtles?,What are the names of the Teenage Mutant Ninja Turtles?
Where Piccadilly start at?,Where does Piccadilly start?
What da name of da university where Obama's wife studied?,What is the name of the university where Obama's wife studied?
When Paraguay proclaim it independence?,When did Paraguay proclaim its independence?
How short da shortest active NBA player?,How tall is the shortest active NBA player?
Wheah did Abraham Lincoln die?,When did Abraham Lincoln die?
