Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
0,"Which magazine started first, Arthur's Magazine or First for Women?","Which magazine was started first, Arthur's Magazine or First for Women?","SELECT ?magazine ?magazineLabel ?inception WHERE {
  VALUES ?name { ""Arthur's Magazine""@en ""First for Women""@en }
  ?magazine rdfs:label ?name.
  ?magazine wdt:P31 wd:Q41298.
  ?magazine wdt:P571 ?inception.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ASC(?inception)
LIMIT 1","{'head': {'vars': ['magazine', 'magazineLabel', 'inception']}, 'results': {'bindings': [{'magazine': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4797714'}, 'inception': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1844-01-01T00:00:00Z'}, 'magazineLabel': {'xml:lang': 'en', 'type': 'literal', 'value': ""Arthur's Magazine""}}]}}",1,Arthur's Magazine,Arthur's Magazine
1,Da Oberoi family part of a hotel company dat got a head office in what city?,Is the Oberoi family part of a hotel company that has a headquarters in what city?,"SELECT DISTINCT ?company ?companyLabel ?hq ?hqLabel WHERE {
  ?family rdfs:label ""Oberoi family""@en.
  {
    ?company wdt:P127 ?family.
  }
  UNION
  {
    ?company wdt:P112 ?founder.
    ?founder wdt:P53 ?family.
  }
  ?company wdt:P159 ?hq.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['company', 'companyLabel', 'hq', 'hqLabel']}, 'results': {'bindings': []}}",1,,Mumbai
2,"Musician and satirist Allie Goertz wrote a song 'bout da ""The Simpsons"" character Milhouse, who Matt Groening named after who?","Who was the ""The Simpsons"" character Milhouse named after?","SELECT ?namedAfter ?namedAfterLabel WHERE {
  ?milhouse rdfs:label ""Milhouse Van Houten""@en.
  ?milhouse wdt:P138 ?namedAfter.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['namedAfter', 'namedAfterLabel']}, 'results': {'bindings': [{'namedAfter': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9588'}, 'namedAfterLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Richard Nixon'}}]}}",1,Richard Nixon,Walter Matthau
3,What nationality was James Henry Miller's wife?,What was the nationality of James Henry Miller's wife?,"SELECT DISTINCT ?wife ?wifeLabel ?nationality ?nationalityLabel WHERE {
  ?person wdt:P31 wd:Q5;
          wdt:P1477 ?birthName.
  FILTER(LCASE(STR(?birthName)) = ""james henry miller"").
  ?person wdt:P26 ?wife.
  ?wife wdt:P21 wd:Q6581072;
        wdt:P27 ?nationality.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['wife', 'wifeLabel', 'nationality', 'nationalityLabel']}, 'results': {'bindings': [{'wife': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q443797'}, 'nationality': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q145'}, 'wifeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Joan Littlewood'}, 'nationalityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'United Kingdom'}}, {'wife': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2067420'}, 'nationality': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q30'}, 'wifeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Peggy Seeger'}, 'nationalityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'United States'}}]}}",1,Joan Littlewood,American
4,"Cadmium Chloride kinda dissolve in dis chemical, it also called what?","What is another name for cadmium chloride, which dissolves in this chemical?","SELECT DISTINCT ?itemAltLabel WHERE {
  ?item wdt:P31 wd:Q11173.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
  FILTER(LCASE(STR(?itemLabel)) = ""cadmium chloride"")
}","{'head': {'vars': ['itemAltLabel']}, 'results': {'bindings': []}}",1,,water
5,"Which tennis player won mo' Grand Slam titles, Henri Leconte or Jonathan Stark?","Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?","SELECT ?player ?playerLabel (COUNT(DISTINCT ?event) AS ?titles) WHERE {
  VALUES ?name { ""Henri Leconte""@en ""Jonathan Stark""@en }
  ?player rdfs:label ?name.
  ?player wdt:P31 wd:Q5; wdt:P641 wd:Q847.
  ?event wdt:P1346 ?player.
  ?event (wdt:P361+|wdt:P629/wdt:P361*) ?tournament.
  VALUES ?tournament { wd:Q132616 wd:Q134233 wd:Q132771 wd:Q132607 }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?player ?playerLabel
ORDER BY DESC(?titles)
LIMIT 1","{'head': {'vars': ['player', 'playerLabel', 'titles']}, 'results': {'bindings': []}}",1,,Henri Leconte
6,Which genus of moth in da world's seventh-largest country got only one species?,Which genus of moth in the world's seventh-largest country has only one species?,"SELECT ?genus ?genusLabel WHERE {
  VALUES ?country { wd:Q668 }  # India
  ?species wdt:P105 wd:Q7432 ;
           wdt:P171 ?genus ;
           wdt:P183 ?country .
  ?genus wdt:P105 wd:Q34740 .
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?genus ?genusLabel
HAVING (COUNT(DISTINCT ?species) = 1)","{'head': {'vars': ['genus', 'genusLabel']}, 'results': {'bindings': [{'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q21107'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Aerides'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q36396'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rattus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q45269'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ophiogomphus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q117557'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Phlegra'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q135936'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Amandava'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q157151'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Salvia'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q194834'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Calliophis'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q222951'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gallus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q431179'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Treron'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q508859'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Aethopyga'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q593360'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Perdicula'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q656643'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Myophonus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q721407'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Semnopithecus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q735456'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pomatorhinus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q746347'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Aeshna'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q771870'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rhipidura'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q900882'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ducula'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q905044'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Dicaeum'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q936378'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Heliocypha'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q945265'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Appias'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q950461'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Philautus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q956173'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Vachellia'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q960357'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Somatochlora'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1007774'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Galloperdix'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1082724'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Minivet'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1165479'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Flavivirus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1168023'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Paraplectana'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1307565'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mortonagrion'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1309867'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pseudagrion'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1311312'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Anisogomphus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1312445'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bradinopyga'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1375727'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Anotogaster'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1826282'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bayadera'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1949480'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Theridion'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2066486'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Calocypha'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2109888'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gegeneophis'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2327016'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Megalestes'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2402646'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gynacanthaeschna'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2465602'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Trimeresurus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2482185'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Neallogaster'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2674783'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Idiomerus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2700450'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Actinodaphne'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2706018'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Uropeltis'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2790351'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Caconeura'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3012152'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Trachischium'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3141170'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Hottentotta'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3386764'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Dysphaea'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3838101'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Machlolophus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6389470'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sonerila'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6527664'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Lepidoplaga'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7193899'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Piletocera'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7239602'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Periaeschna'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q10603231'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nososticta'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q10809413'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Psilopogon'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q14867498'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sacada'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q15734705'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Heteroglaux'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q20819719'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Hydrophylax'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q25407338'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Argya'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q55312740'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pterorhinus'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80329357'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Indopadilla'}}, {'genus': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q106581021'}, 'genusLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Indoseges'}}]}}",2,Aerides,Fabaceae
7,"Who was once seen as da best kick boxer in da world, but he been caught up in a bunch of controversies 'bout his ""unsportsmanlike conduct"" in da sport and crimes of violence outside da ring.","Who was once seen as the best kick boxer in the world, but he has been caught up in a bunch of controversies about his ""unsportsmanlike conduct"" in the sport and crimes of violence outside the ring?","SELECT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q5;
        wdt:P641 wd:Q180634;
        wdt:P27 wd:Q55, wd:Q1028;
        wdt:P1399 ?conviction.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': []}}",1,,joe frazier
8,"Da Dutch-Belgian TV show dat ""House of Anubis"" was based on first aired in what year?","In what year did the Dutch-Belgian TV show ""House of Anubis"" first air?","SELECT (MIN(YEAR(?firstAir)) AS ?year) WHERE {
  SERVICE wikibase:mwapi {
    bd:serviceParam wikibase:api ""EntitySearch"";
                    wikibase:endpoint ""www.wikidata.org"";
                    mwapi:search ""House of Anubis"";
                    mwapi:language ""en"".
    ?item wikibase:apiOutputItem mwapi:item.
  }
  ?item wdt:P31 wd:Q5398426;
        wdt:P495 wd:Q55, wd:Q31;
        wdt:P577 ?firstAir.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['year']}, 'results': {'bindings': [{}]}}",1,,2005
9,What is da length of da track where da 2013 Liqui Moly Bathurst 12 Hour was staged?,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was held?,"SELECT ?track ?trackLabel ?length ?unitLabel WHERE {
  ?event rdfs:label ""2013 Liqui Moly Bathurst 12 Hour""@en.
  ?event wdt:P276 ?track.
  ?track p:P2043 ?lenStmt.
  ?lenStmt ps:P2043 ?length;
           wikibase:quantityUnit ?unit.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['track', 'trackLabel', 'length', 'unitLabel']}, 'results': {'bindings': []}}",1,,135 km
