Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
0,What da seventh tallest mountain in North America?,What is the seventh tallest mountain in North America?,"SELECT ?item ?itemLabel ?elev WHERE {
  ?item wdt:P31/wdt:P279* wd:Q8502;
        wdt:P2044 ?elev;
        wdt:P17/wdt:P30 wd:Q49.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?elev)
OFFSET 6
LIMIT 1","{'head': {'vars': ['item', 'itemLabel', 'elev']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5351150'}, 'elev': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '14165'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'El Diente Peak'}}]}}",1,El Diente Peak,Rocky Mountains
1,"Which actor was da star of Titanic and was born in Los Angeles, California?","Which actor was the star of Titanic and was born in Los Angeles, California?",,{},0,,robert mccartney
2,Which actor starred in Vanilla Sky and was married to Katie Holmes?,Which actor starred in Vanilla Sky and was married to Katie Holmes?,,{},0,,jimmy wilson
3,What year da first book of A Song of Ice and Fire series come out?,In what year was the first book of the A Song of Ice and Fire series released?,"SELECT (YEAR(?date) AS ?year) WHERE {
  ?series rdfs:label ""A Song of Ice and Fire""@en.
  ?book wdt:P179 ?series;
        wdt:P577 ?date.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ASC(?date)
LIMIT 1","{'head': {'vars': ['year']}, 'results': {'bindings': [{}]}}",1,,1999
4,Who da youngest current US governor?,Who is the youngest current U.S. governor?,"SELECT ?gov ?govLabel ?state ?stateLabel ?dob WHERE {
  ?state wdt:P31 wd:Q35657;
         wdt:P6 ?gov.
  ?gov wdt:P31 wd:Q5;
       wdt:P569 ?dob.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?dob)
LIMIT 1","{'head': {'vars': ['gov', 'govLabel', 'state', 'stateLabel', 'dob']}, 'results': {'bindings': [{'state': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1612'}, 'gov': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q27986907'}, 'dob': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1982-08-13T00:00:00Z'}, 'govLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sarah Sanders'}, 'stateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Arkansas'}}]}}",1,Sarah Sanders,George W. Bush
5,Which US president got da most votes?,Which U.S. president received the most votes?,,{},0,,Barack Obama
6,How long it take to build da Lincoln Memorial?,How long did it take to build the Lincoln Memorial?,,{},0,,10 years
7,Has Bernie Sanders ever been president of the United States?,Has Bernie Sanders ever been president of the United States?,"ASK WHERE {
  wd:Q359442 wdt:P39 wd:Q11696.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,,yes
8,Which actor was Stephenie Meyer’s first pick to play Edward Cullen in da movie Twilight?,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,,{},0,,Stephenie Meyer
9,How old was Taylor Swift when she won her first Grammy?,How old was Taylor Swift when she won her first Grammy?,,{},0,,18
10,Which river longer than da Mississippi River?,Which river is longer than the Mississippi River?,,{},0,,Mississippi River
11,How old is da singer of The Dance?,How old is the singer of The Dance?,"SELECT ?singer ?singerLabel ?age WHERE {
  VALUES ?class { wd:Q7366 wd:Q134556 }
  ?song wdt:P31 ?class;
        rdfs:label ""The Dance""@en;
        wdt:P175 ?singer.
  ?singer wdt:P31 wd:Q5;
          wdt:P569 ?birth.
  BIND(NOW() AS ?now)
  BIND((YEAR(?now) - YEAR(?birth) - IF(MONTH(?now) < MONTH(?birth) || (MONTH(?now) = MONTH(?birth) && DAY(?now) < DAY(?birth)), 1, 0)) AS ?age)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['singer', 'singerLabel', 'age']}, 'results': {'bindings': [{'singer': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q216288'}, 'singerLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Garth Brooks'}, 'age': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '63'}}]}}",1,Garth Brooks,18
12,What da latest US state to get in da union dat ain't Hawaii?,What was the latest U.S. state to join the union that isn't Hawaii?,,{},0,,Hawaii
13,Wha's da longest lake in da world?,What is the longest lake in the world?,"SELECT ?lake ?lakeLabel ?length WHERE {
  ?lake wdt:P31/wdt:P279* wd:Q23397.
  ?lake wdt:P2043 ?length.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?length)
LIMIT 1","{'head': {'vars': ['lake', 'lakeLabel', 'length']}, 'results': {'bindings': [{'lake': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q26838793'}, 'length': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '9300'}, 'lakeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Faydat Umm Shuwayjah'}}]}}",1,Faydat Umm Shuwayjah,
14,How many teams Matthew Stafford done played for?,How many teams has Matthew Stafford played for?,,{},0,,2
15,Where da singer of Genie in a Bottle born at?,"Where was the singer of ""Genie in a Bottle"" born?","SELECT ?place ?placeLabel WHERE {
  ?song wdt:P31 wd:Q7366;
        rdfs:label ""Genie in a Bottle""@en;
        wdt:P175 ?singer.
  ?singer wdt:P31 wd:Q5;
          wdt:P19 ?place.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['place', 'placeLabel']}, 'results': {'bindings': [{'place': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18432'}, 'placeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Staten Island'}}]}}",1,Staten Island,New York City
16,When Metallica drop dey fourth album?,When did Metallica release their fourth album?,,{},0,,"September 27, 2017"
17,"Which series older, Metroid or Super Mario Bros?","Which series is older, Metroid or Super Mario Bros?",,{},0,,Super Mario Bros
18,In which Super Mario Land game you don’t play as Mario?,In which Super Mario Land game do you not play as Mario?,"SELECT ?game ?gameLabel WHERE {
  ?game wdt:P31 wd:Q7889;
        rdfs:label ?label.
  FILTER(LANG(?label) = ""en"").
  FILTER(CONTAINS(LCASE(?label), ""super mario land"")).
  FILTER(NOT EXISTS { ?game wdt:P674 wd:Q1406 }).
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['game', 'gameLabel']}, 'results': {'bindings': [{'game': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1634866'}, 'gameLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Wario Land: Super Mario Land 3'}}, {'game': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q596392'}, 'gameLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Super Mario Land 2: 6 Golden Coins'}}, {'game': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q647249'}, 'gameLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Super Mario Land'}}]}}",1,Wario Land: Super Mario Land 3,Super Mario Land
19,Is Texas da largest state in da US?,Is Texas the largest state in the US?,,{},0,,Texas
20,How many times da Los Angeles Dodgers lost da World Series?,How many times did the Los Angeles Dodgers lose the World Series?,"SELECT (COUNT(DISTINCT ?series) AS ?losses) WHERE {
  ?ws rdfs:label ""World Series""@en.
  ?franchise (wdt:P1365|wdt:P1366)* wd:Q45169.
  { ?series wdt:P361 ?ws } UNION { ?series wdt:P31 ?ws }.
  ?series (wdt:P710|^wdt:P1344) ?franchise.
  ?series wdt:P1346 ?winner.
  FILTER(?winner != ?franchise)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['losses']}, 'results': {'bindings': [{'losses': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}}]}}",1,0,2
21,Who was da president of Argentina from '89 to '99?,Who was the president of Argentina from 1989 to 1999?,,{},0,,edward iii
22,"Who was a member of da 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Who was a member of the 2004 U.S. Olympic men's swim team and was born in Baltimore, Maryland?","SELECT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q5;
        wdt:P19 wd:Q5092;
        wdt:P21 wd:Q6581097;
        wdt:P1344 wd:Q8567;
        wdt:P641 wd:Q31920.
  { ?item wdt:P1532 wd:Q30. } UNION { ?item wdt:P27 wd:Q30. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q39562'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Michael Phelps'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q39562'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Michael Phelps'}}]}}",1,Michael Phelps,samuel wilson
23,Have da Los Angeles Rams won a Super Bowl ring since movin' back to Los Angeles?,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,,{},0,,yes
24,What governors of Ohio since 2000 ain’t been Republican?,Who have been the governors of Ohio since 2000 who were not Republicans?,"SELECT DISTINCT ?person ?personLabel WHERE {
  ?person p:P39 ?posStmt.
  ?posStmt ps:P39 ?position.
  ?position wdt:P1001 wd:Q1397.
  ?position rdfs:label ?posLabel.
  FILTER(LANG(?posLabel)=""en"").
  FILTER(LCASE(STR(?posLabel)) = ""governor of ohio"").
  OPTIONAL { ?posStmt pq:P580 ?start. }
  OPTIONAL { ?posStmt pq:P582 ?end. }
  BIND(COALESCE(?end, ""9999-12-31T00:00:00Z""^^xsd:dateTime) AS ?e)
  FILTER(?e >= ""2000-01-01T00:00:00Z""^^xsd:dateTime)
  FILTER(NOT EXISTS { ?posStmt pq:P102 wd:Q29468 } && NOT EXISTS { ?person wdt:P102 wd:Q29468 })
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q465295'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ted Strickland'}}]}}",1,Ted Strickland,John F. Kennedy
25,AAVE Translation: Ain't never been no Christian U.S. senator?,Have there ever been a Christian U.S. senator?,,{},0,,AAVE
26,Is Venus Williams older den Serena Williams?,Is Venus Williams older than Serena Williams?,"ASK WHERE {
  ?venus wdt:P31 wd:Q5; rdfs:label ""Venus Williams""@en; wdt:P569 ?venusDOB.
  ?serena wdt:P31 wd:Q5; rdfs:label ""Serena Williams""@en; wdt:P569 ?serenaDOB.
  FILTER(?venusDOB < ?serenaDOB)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': True}",1,,no
27,Which player done won da most World Series rings?,Which player has won the most World Series rings?,,{},0,,Roger Federer
28,Did The Beatles drop Rubber Soul before Revolver?,Did The Beatles release Rubber Soul before Revolver?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>

ASK {
  ?beatles rdfs:label ""The Beatles""@en.
  ?rubberSoul rdfs:label ""Rubber Soul""@en;
               wdt:P31 wd:Q482994;
               wdt:P175 ?beatles;
               wdt:P577 ?rsDate.
  ?revolver rdfs:label ""Revolver""@en;
            wdt:P31 wd:Q482994;
            wdt:P175 ?beatles;
            wdt:P577 ?revDate.
  FILTER(?rsDate < ?revDate)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,,no
29,How old is Aziz Ansari?,How old is Aziz Ansari?,,{},0,,18
30,How many Pulitzer Prizes Colson Whitehead done won?,How many Pulitzer Prizes has Colson Whitehead won?,"SELECT (COUNT(?awardStatement) AS ?count) WHERE {
  ?person rdfs:label ""Colson Whitehead""@en;
          wdt:P31 wd:Q5;
          p:P166 ?awardStatement.
  ?awardStatement ps:P166 ?award.
  ?award wdt:P361 wd:Q35637.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['count']}, 'results': {'bindings': [{'count': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}}]}}",1,0,two
31,"Who been in more movies, Kevin Hart or Dwayne Johnson?","Who has been in more movies, Kevin Hart or Dwayne Johnson?",,{},0,,Kevin Hart
32,Did da movie Moana come out before 2015?,Did the movie Moana come out before 2015?,,{},0,,yes
33,"Which movie made mo' money, Joker or Suicide Squad (2016)?","Which movie made more money, Joker or Suicide Squad (2016)?","SELECT ?film ?filmLabel ?boxOffice WHERE {
  VALUES ?title { ""Joker""@en ""Suicide Squad""@en }
  ?film wdt:P31 wd:Q11424;
        rdfs:label ?title;
        wdt:P577 ?pubdate;
        wdt:P2142 ?boxOffice.
  FILTER(YEAR(?pubdate) IN (2019, 2016))
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?boxOffice)
LIMIT 1","{'head': {'vars': ['film', 'filmLabel', 'boxOffice']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42759035'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1074458282'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Joker'}}]}}",1,Joker,Joker
34,"Which movie dropped first, Avengers: Endgame or Joker?","Which movie was released first, Avengers: Endgame or Joker?",,{},0,,Joker
35,Was Friday da 13th drop da same year as Halloween?,"In what year was Friday the 13th released, and was it the same year as Halloween?","SELECT ?fridayYear ?halloweenYear (?fridayYear = ?halloweenYear AS ?sameYear) WHERE {
  {
    SELECT (MIN(YEAR(?date1)) AS ?fridayYear) WHERE {
      ?f13 wdt:P31 wd:Q11424;
           rdfs:label ""Friday the 13th""@en;
           wdt:P577 ?date1.
    }
  }
  {
    SELECT (MIN(YEAR(?date2)) AS ?halloweenYear) WHERE {
      ?h wdt:P31 wd:Q11424;
         rdfs:label ""Halloween""@en;
         wdt:P577 ?date2.
    }
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['fridayYear', 'halloweenYear', 'sameYear']}, 'results': {'bindings': [{'fridayYear': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1916'}, 'halloweenYear': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1931'}, 'sameYear': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}]}}",1,1916,no
36,Did Scream come out before 2000?,Did Scream come out before the year 2000?,,{},0,,yes
