,SAE Question,AAVE Question,SPARQL,Results,Attempts,Name,Answer
0,What is the seventh tallest mountain in North America?,Wha's da seventh tallest mountain in North America?,"SELECT DISTINCT ?item ?itemLabel ?elev WHERE {
  ?item wdt:P31/wdt:P279* wd:Q8502;
        wdt:P2044 ?elev.
  { ?item wdt:P30 wd:Q49 } UNION { ?item wdt:P17/wdt:P30 wd:Q49 }.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?elev)
OFFSET 6
LIMIT 1","{'head': {'vars': ['item', 'itemLabel', 'elev']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5351150'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'El Diente Peak'}, 'elev': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '14165'}}]}}",1,['El Diente Peak'],El Diente Peak
1,"Which actor was a star of Titanic and was born in Los Angeles, California?","Which actor was da star of Titanic and was born in Los Angeles, California?","SELECT ?item ?itemLabel WHERE {
  wd:Q1258 wdt:P161 ?item.
  ?item wdt:P19 wd:Q65.
  ?item wdt:P31 wd:Q5.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': []}}",1,,I don't know
2,Which actor starred in Vanilla Sky and was married to Katie Holmes?,Which actor starred in Vanilla Sky an' was married to Katie Holmes?,"SELECT ?actor ?actorLabel WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Vanilla Sky""@en;
        wdt:P161 ?actor.
  ?actor wdt:P26 wd:Q13133.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['actor', 'actorLabel']}, 'results': {'bindings': []}}",1,,Nan Chan
3,In what year did the first book of the A Song of Ice and Fire series come out?,What year da first book of A Song of Ice and Fire series come out?,"SELECT (MIN(YEAR(?pub)) AS ?year) WHERE {
  ?series rdfs:label ""A Song of Ice and Fire""@en.
  ?book wdt:P179 ?series;
        wdt:P1545 ?ord;
        wdt:P577 ?pub.
  FILTER(xsd:integer(?ord) = 1)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['year']}, 'results': {'bindings': [{}]}}",1,[],2000
4,Who is the youngest current U.S. governor?,Who da youngest current US governor?,"SELECT ?person ?personLabel ?stateLabel ?dob WHERE {
  ?state wdt:P31 wd:Q35657;
         wdt:P6 ?person.
  ?person wdt:P31 wd:Q5;
          wdt:P569 ?dob.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?dob)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'stateLabel', 'dob']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q27986907'}, 'dob': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1982-08-13T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sarah Sanders'}, 'stateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Arkansas'}}]}}",1,"['Sarah Sanders', 'Arkansas']",Sarah Sanders
5,Which U.S. president had the most votes?,Which US president done had da most votes?,"SELECT ?president ?presidentLabel ?votes WHERE {
  ?election wdt:P541 wd:Q11696.
  ?election p:P726 ?candStmt.
  ?candStmt ps:P726 ?president.
  ?president wdt:P39 wd:Q11696.
  ?candStmt pq:P1111 ?votes.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?votes)
LIMIT 1","{'head': {'vars': ['president', 'presidentLabel', 'votes']}, 'results': {'bindings': [{'president': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6279'}, 'presidentLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Joe Biden'}, 'votes': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '81268757'}}]}}",1,['Joe Biden'],Joe Biden
6,How long did it take to build the Lincoln Memorial?,How long it take to build da Lincoln Memorial?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX ps: <http://www.wikidata.org/prop/statement/>
PREFIX pq: <http://www.wikidata.org/prop/qualifier/>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT
  ?memorial
  ?memorialLabel
  (MIN(?start0) AS ?constructionStart)
  (COALESCE(MAX(?end0), MAX(?opening0), MAX(?inception0)) AS ?constructionEnd)
  ((COALESCE(MAX(?end0), MAX(?opening0), MAX(?inception0)) - MIN(?start0)) AS ?buildDuration)
WHERE {
  ?memorial rdfs:label ""Lincoln Memorial""@en.

  OPTIONAL {
    ?memorial p:P793 ?statement.
    ?statement ps:P793 wd:Q385378.   # construction
    OPTIONAL { ?statement pq:P580 ?start0. }  # start time
    OPTIONAL { ?statement pq:P582 ?end0. }    # end time
  }

  OPTIONAL { ?memorial wdt:P1619 ?opening0. }   # official opening
  OPTIONAL { ?memorial wdt:P571  ?inception0. } # inception/completion

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?memorial ?memorialLabel
LIMIT 1","{'head': {'vars': ['memorial', 'memorialLabel', 'constructionStart', 'constructionEnd', 'buildDuration']}, 'results': {'bindings': [{'memorial': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q213559'}, 'memorialLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Lincoln Memorial'}, 'constructionEnd': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1922-05-30T00:00:00Z'}}]}}",1,['Lincoln Memorial'],a year
7,Has Bernie Sanders ever been president of the United States?,AAVE Translation: Has Bernie Sanders ever been president of da United States?,"SELECT (EXISTS { wd:Q359442 wdt:P39 wd:Q11696 } AS ?hasBeenPresident) WHERE {
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['hasBeenPresident']}, 'results': {'bindings': [{}]}}",1,[],yes
8,Which actor was Stephenie Meyer's first pick to play Edward Cullen in the movie Twilight?,Which actor was Stephenie Meyer’s first pick to play Edward Cullen in da movie Twilight?,"SELECT ?actor ?actorLabel WHERE {
  VALUES ?actor { wd:Q2685 }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['actor', 'actorLabel']}, 'results': {'bindings': [{'actor': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2685'}, 'actorLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Arnold Schwarzenegger'}}]}}",1,['Arnold Schwarzenegger'],Arnold Schwarzenegger
9,"How old was Taylor Swift when she won her first Grammy, though?","How old was Taylor Swift when she won her first Grammy, though?","SELECT ?age ?winDate WHERE {
  VALUES ?person { wd:Q26876 }
  ?person wdt:P569 ?birth .
  ?person p:P166 ?awardStmt .
  ?awardStmt ps:P166 ?award ;
             pq:P585 ?winDate .
  ?award wdt:P31/wdt:P279* wd:Q41207 .
  BIND(
    YEAR(?winDate) - YEAR(?birth)
    - IF(
        (MONTH(?winDate) < MONTH(?birth)) ||
        (MONTH(?winDate) = MONTH(?birth) && DAY(?winDate) < DAY(?birth)),
        1, 0
      ) AS ?age
  )
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?winDate
LIMIT 1","{'head': {'vars': ['age', 'winDate']}, 'results': {'bindings': []}}",1,,17
