,question,questionEntity,answer
0,What is the seventh tallest mountain in North America?,"[{'name': 'Q49', 'entityType': 'entity', 'label': 'North America', 'mention': 'North America', 'span': [40, 53]}, {'name': 7, 'entityType': 'ordinal', 'mention': 'seventh', 'span': [12, 19]}]","{'answerType': 'entity', 'answer': [{'name': 'Q1153188', 'label': {'en': 'Mount Lucania', 'ar': None, 'de': 'Mount Lucania', 'es': 'Monte Lucania', 'fr': 'mont Lucania', 'hi': None, 'it': 'Monte Lucania', 'ja': 'ルカニア山', 'pt': 'Monte Lucania'}}], 'mention': 'Mount Lucania'}"
1,"Which actor was the star of Titanic and was born in Los Angeles, California?","[{'name': 'Q44578', 'entityType': 'entity', 'label': 'Titanic', 'mention': 'Titanic', 'span': [28, 35]}, {'name': 'Q65', 'entityType': 'entity', 'label': 'Los Angeles', 'mention': 'Los Angeles, California', 'span': [52, 75]}]","{'answerType': 'entity', 'answer': [{'name': 'Q38111', 'label': {'en': 'Leonardo DiCaprio', 'ar': 'ليوناردو دي كابريو', 'de': 'Leonardo DiCaprio', 'es': 'Leonardo DiCaprio', 'fr': 'Leonardo DiCaprio', 'hi': 'लियोनार्डो डि कैप्रियो', 'it': 'Leonardo DiCaprio', 'ja': 'レオナルド・ディカプリオ', 'pt': 'Leonardo DiCaprio'}}], 'mention': 'Leonardo DiCaprio'}"
2,Which actor starred in Vanilla Sky and was married to Katie Holmes?,"[{'name': 'Q174346', 'entityType': 'entity', 'label': 'Katie Holmes', 'mention': 'Katie Holmes', 'span': [54, 66]}, {'name': 'Q110278', 'entityType': 'entity', 'label': 'Vanilla Sky', 'mention': 'Vanilla Sky', 'span': [23, 34]}]","{'answerType': 'entity', 'answer': [{'name': 'Q37079', 'label': {'en': 'Tom Cruise', 'ar': 'توم كروز', 'de': 'Tom Cruise', 'es': 'Tom Cruise', 'fr': 'Tom Cruise', 'hi': 'टॉम क्रूज़', 'it': 'Tom Cruise', 'ja': 'トム・クルーズ', 'pt': 'Tom Cruise'}}], 'mention': 'Tom Cruise'}"
3,What year was the first book of the A Song of Ice and Fire series published?,"[{'name': 'Q45875', 'entityType': 'entity', 'label': 'A Song of Ice and Fire', 'mention': 'A Song of Ice and Fire', 'span': [36, 58]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [18, 23]}]","{'answerType': 'date', 'answer': ['1996'], 'mention': '1996'}"
4,Who is the youngest current US governor?,"[{'name': 'Q889821', 'entityType': 'entity', 'label': 'governor', 'mention': 'US governor', 'span': [28, 39]}]","{'answerType': 'entity', 'answer': [{'name': 'Q3105215', 'label': {'en': 'Ron DeSantis', 'ar': 'رون دي سانتيس', 'de': 'Ron DeSantis', 'es': 'Ron DeSantis', 'fr': 'Ron DeSantis', 'hi': None, 'it': 'Ron DeSantis', 'ja': 'ロン・ディサンティス', 'pt': 'Ron DeSantis'}}], 'mention': 'Ron DeSantis', 'supportingNum': '43 years, 29 days'}"
5,Which US president has had the most votes?,"[{'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'US', 'span': [6, 8]}]","{'answerType': 'entity', 'answer': [{'name': 'Q6279', 'label': {'en': 'Joe Biden', 'ar': 'جو بايدن', 'de': 'Joe Biden', 'es': 'Joe Biden', 'fr': 'Joe Biden', 'hi': 'जो बाइडेन', 'it': 'Joe Biden', 'ja': 'ジョー・バイデン', 'pt': 'Joe Biden'}}], 'mention': 'Joe Biden', 'supportingNum': '81,268,924'}"
6,How long did it take to build the Lincoln Memorial?,"[{'name': 'Q213559', 'entityType': 'entity', 'label': 'Lincoln Memorial', 'mention': 'Lincoln Memorial', 'span': [34, 50]}]","{'answerType': 'numerical', 'answer': [8], 'mention': '8 years'}"
7,Has Bernie Sanders ever been president of the United States?,"[{'name': 'Q359442', 'entityType': 'entity', 'label': 'Bernie Sanders', 'mention': 'Bernie Sanders', 'span': [4, 18]}, {'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'United States', 'span': [46, 59]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
8,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,"[{'name': 'Q160219', 'entityType': 'entity', 'label': 'Stephenie Meyer', 'mention': ""Stephenie Meyer's"", 'span': [16, 33]}, {'name': 'Q160071', 'entityType': 'entity', 'label': 'Twilight', 'mention': 'Twilight', 'span': [82, 90]}, {'name': 'Q191527', 'entityType': 'entity', 'label': 'Edward Cullen', 'mention': 'Edward Cullen', 'span': [55, 68]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [34, 39]}]","{'answerType': 'entity', 'answer': [{'name': 'Q295498', 'label': {'en': 'Henry Cavill', 'ar': 'هنري كافيل', 'de': 'Henry Cavill', 'es': 'Henry Cavill', 'fr': 'Henry Cavill', 'hi': 'हेनरी केविल', 'it': 'Henry Cavill', 'ja': 'ヘンリー・カヴィル', 'pt': 'Henry Cavill'}}], 'mention': 'Henry Cavill'}"
9,How old was Taylor Swift when she won her first Grammy?,"[{'name': 'Q26876', 'entityType': 'entity', 'label': 'Taylor Swift', 'mention': 'Taylor Swift', 'span': [12, 24]}, {'name': 'Q41254', 'entityType': 'entity', 'label': 'Grammy Award', 'mention': 'Grammy', 'span': [48, 54]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [42, 47]}]","{'answerType': 'numerical', 'answer': [20], 'mention': '20'}"
10,Which river is longer than the Mississippi River?,"[{'name': 'Q1497', 'entityType': 'entity', 'label': 'Mississippi River', 'mention': 'Mississippi River', 'span': [31, 48]}]","{'answerType': 'entity', 'answer': [{'name': 'Q3392', 'label': {'en': 'Nile', 'ar': 'نهر النيل', 'de': 'Nil', 'es': 'Nilo', 'fr': 'Nil', 'hi': 'नील नदी', 'it': 'Nilo', 'ja': 'ナイル川', 'pt': 'Rio Nilo'}}], 'mention': 'The Nile'}"
11,How old is the singer of The Dance?,"[{'name': 'Q7728806', 'entityType': 'entity', 'label': 'The Dance', 'mention': 'The Dance', 'span': [25, 34]}]","{'answerType': 'numerical', 'answer': [59], 'mention': '59'}"
12,What is the latest US state to be admitted to the union that is not Hawaii?,"[{'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'US', 'span': [19, 21]}, {'name': 'Q782', 'entityType': 'entity', 'label': 'Hawaii', 'mention': 'Hawaii', 'span': [68, 74]}]","{'answerType': 'entity', 'answer': [{'name': 'Q797', 'label': {'en': 'Alaska', 'ar': 'ألاسكا', 'de': 'Alaska', 'es': 'Alaska', 'fr': 'Alaska', 'hi': 'अलास्का', 'it': 'Alaska', 'ja': 'アラスカ州', 'pt': 'Alasca'}}], 'mention': 'Alaska'}"
13,What is the longest lake in the world?,"[{'name': 'Q23397', 'entityType': 'entity', 'label': 'lake', 'mention': 'lake', 'span': [20, 24]}]","{'answerType': 'entity', 'answer': [{'name': 'Q5511', 'label': {'en': 'Lake Tanganyika', 'ar': 'بحيرة تنجانيقا', 'de': 'Tanganjikasee', 'es': 'lago Tanganica', 'fr': 'lac Tanganyika', 'hi': 'तांगान्यीका झील', 'it': 'lago Tanganica', 'ja': 'タンガニーカ湖', 'pt': 'Lago Tanganica'}}], 'mention': 'Lake Tanganyika', 'supportingNum': '12,700'}"
14,How many teams has Matthew Stafford played for?,"[{'name': 'Q889130', 'entityType': 'entity', 'label': 'Matthew Stafford', 'mention': 'Matthew Stafford', 'span': [19, 35]}]","{'answerType': 'numerical', 'answer': [2], 'mention': '2', 'supportingEnt': [{'name': 'Q271880', 'label': {'en': 'Detroit Lions', 'ar': 'ديترويت ليونز', 'de': 'Detroit Lions', 'es': 'Detroit Lions', 'fr': 'Lions de Détroit', 'hi': 'डेट्रॉयट लाइन्स', 'it': 'Detroit Lions', 'ja': 'デトロイト・ライオンズ', 'pt': 'Detroit Lions'}}, {'name': 'Q337377', 'label': {'en': 'Los Angeles Rams', 'ar': 'لوس أنجيليس رامز', 'de': 'Los Angeles Rams', 'es': 'Los Angeles Rams', 'fr': 'Rams de Los Angeles', 'hi': 'सेंट लुईस रैम्स', 'it': 'Los Angeles Rams', 'ja': 'ロサンゼルス・ラムズ', 'pt': 'Los Angeles Rams'}}]}"
15,Where was the singer of Genie in a Bottle born?,"[{'name': 'Q326246', 'entityType': 'entity', 'label': 'Genie in a Bottle', 'mention': 'Genie in a Bottle', 'span': [24, 41]}]","{'answerType': 'entity', 'answer': [{'name': 'Q18432', 'label': {'en': 'Staten Island', 'ar': 'جزيرة ستاتن', 'de': 'Staten Island', 'es': 'Staten Island', 'fr': 'Staten Island', 'hi': None, 'it': 'Staten Island', 'ja': 'スタテン・アイランド', 'pt': 'Staten Island'}}], 'mention': 'Staten Island, New York City'}"
16,When did Metallica put out their fourth album?,"[{'name': 'Q15920', 'entityType': 'entity', 'label': 'Metallica', 'mention': 'Metallica', 'span': [9, 18]}, {'name': 4, 'entityType': 'ordinal', 'mention': 'fourth', 'span': [33, 39]}]","{'answerType': 'date', 'answer': ['1988'], 'mention': '1988'}"
17,"Which series is older, Metroid or Super Mario Bros?","[{'name': 'Q12397', 'entityType': 'entity', 'label': 'Metroid', 'mention': 'Metroid', 'span': [23, 30]}, {'name': 'Q23902998', 'entityType': 'entity', 'label': 'Super Mario Bros.', 'mention': 'Super Mario Bros', 'span': [34, 50]}]","{'answerType': 'entity', 'answer': [{'name': 'Q23902998', 'label': {'en': 'Super Mario Bros.', 'ar': None, 'de': 'Super Mario Bros.', 'es': None, 'fr': 'Super Mario Bros.', 'hi': None, 'it': None, 'ja': 'スーパーマリオブラザーズシリーズ', 'pt': None}}], 'mention': 'Super Mario Bros'}"
18,In which Super Mario Land game do you not play as Mario?,"[{'name': 'Q647249', 'entityType': 'entity', 'label': 'Super Mario Land', 'mention': 'Super Mario Land', 'span': [9, 25]}, {'name': 'Q12379', 'entityType': 'entity', 'label': 'Mario', 'mention': 'Mario', 'span': [50, 55]}]","{'answerType': 'entity', 'answer': [{'name': 'Q1634866', 'label': {'en': 'Wario Land: Super Mario Land 3', 'ar': 'واريو لاند: سوبر ماريو لاند 3', 'de': 'Wario Land – Super Mario Land 3', 'es': 'Wario Land: Super Mario Land 3', 'fr': 'Wario Land: Super Mario Land 3', 'hi': None, 'it': 'Wario Land: Super Mario Land 3', 'ja': 'スーパーマリオランド3 ワリオランド', 'pt': 'Wario Land: Super Mario Land 3'}}], 'mention': 'Wario Land: Super Mario Land 3'}"
19,Is Texas the largest state in US?,"[{'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'US', 'span': [30, 32]}, {'name': 'Q1439', 'entityType': 'entity', 'label': 'Texas', 'mention': 'Texas', 'span': [3, 8]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
20,How many times have the Los Angeles Dodgers lost the World Series?,"[{'name': 'Q334634', 'entityType': 'entity', 'label': 'Los Angeles Dodgers', 'mention': 'Los Angeles Dodgers', 'span': [24, 43]}, {'name': 'Q265538', 'entityType': 'entity', 'label': 'World Series', 'mention': 'World Series', 'span': [53, 65]}]","{'answerType': 'numerical', 'answer': [14], 'mention': '14'}"
21,Who was the president of Argentina from 1989 to 1999?,"[{'name': 'Q414', 'entityType': 'entity', 'label': 'Argentina', 'mention': 'Argentina', 'span': [25, 34]}, {'name': 1999, 'entityType': 'date', 'mention': '1999', 'span': [48, 52]}, {'name': 1989, 'entityType': 'date', 'mention': '1989', 'span': [40, 44]}]","{'answerType': 'entity', 'answer': [{'name': 'Q185107', 'label': {'en': 'Carlos Menem', 'ar': 'كارلوس منعم', 'de': 'Carlos Menem', 'es': 'Carlos Menem', 'fr': 'Carlos Menem', 'hi': None, 'it': 'Carlos Saúl Menem', 'ja': 'カルロス・メネム', 'pt': 'Carlos Saúl Menem'}}], 'mention': 'Carlos Menem'}"
22,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","[{'name': 'Q5092', 'entityType': 'entity', 'label': 'Baltimore', 'mention': 'Baltimore, Maryland', 'span': [70, 89]}, {'name': 'Q212434', 'entityType': 'entity', 'label': 'Olympic sport', 'mention': 'Olympic', 'span': [34, 41]}, {'name': 'Q8441', 'entityType': 'entity', 'label': 'man', 'mention': ""men's"", 'span': [42, 47]}, {'name': 'Q31920', 'entityType': 'entity', 'label': 'swimming', 'mention': 'swim', 'span': [48, 52]}, {'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'U.S.', 'span': [29, 33]}, {'name': 2004, 'entityType': 'date', 'mention': '2004', 'span': [24, 28]}]","{'answerType': 'entity', 'answer': [{'name': 'Q39562', 'label': {'en': 'Michael Phelps', 'ar': 'مايكل فيلبس', 'de': 'Michael Phelps', 'es': 'Michael Phelps', 'fr': 'Michael Phelps', 'hi': 'माइकल फ़ेल्प्स', 'it': 'Michael Phelps', 'ja': 'マイケル・フェルプス', 'pt': 'Michael Phelps'}}], 'mention': 'Michael Phelps'}"
23,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,"[{'name': 'Q337377', 'entityType': 'entity', 'label': 'Los Angeles Rams', 'mention': 'Los Angeles Rams', 'span': [9, 25]}, {'name': 'Q65', 'entityType': 'entity', 'label': 'Los Angeles', 'mention': 'Los Angeles', 'span': [69, 80]}, {'name': 'Q32096', 'entityType': 'entity', 'label': 'Super Bowl', 'mention': 'Super Bowl', 'span': [32, 42]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
24,What governors of Ohio since 2000 have not been Republican?,"[{'name': 'Q29468', 'entityType': 'entity', 'label': 'Republican Party', 'mention': 'Republican', 'span': [48, 58]}, {'name': 'Q1397', 'entityType': 'entity', 'label': 'Ohio', 'mention': 'Ohio', 'span': [18, 22]}, {'name': 2000, 'entityType': 'date', 'mention': '2000', 'span': [29, 33]}]","{'answerType': 'entity', 'answer': [{'name': 'Q465295', 'label': {'en': 'Ted Strickland', 'ar': 'تيد ستريكلاند', 'de': 'Ted Strickland', 'es': 'Ted Strickland', 'fr': 'Ted Strickland', 'hi': None, 'it': 'Ted Strickland', 'ja': 'テッド・ストリックランド', 'pt': 'Ted Strickland'}}], 'mention': 'Ted Strickland'}"
25,Has there ever been a Christian U.S. senator?,"[{'name': 'Q106039', 'entityType': 'entity', 'label': 'Christian', 'mention': 'Christian', 'span': [22, 31]}, {'name': 'Q4416090', 'entityType': 'entity', 'label': 'United States senator', 'mention': 'U.S. senator', 'span': [32, 44]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
26,Is Venus Williams older than Serena Williams?,"[{'name': 'Q11459', 'entityType': 'entity', 'label': 'Serena Williams', 'mention': 'Serena Williams', 'span': [29, 44]}, {'name': 'Q11578', 'entityType': 'entity', 'label': 'Venus Williams', 'mention': 'Venus Williams', 'span': [3, 17]}]","{'answerType': 'boolean', 'answer': [True], 'mention': 'Yes'}"
27,Which player has won the most World Series rings?,"[{'name': 'Q265538', 'entityType': 'entity', 'label': 'World Series', 'mention': 'World Series', 'span': [30, 42]}]","{'answerType': 'entity', 'answer': [{'name': 'Q367566', 'label': {'en': 'Yogi Berra', 'ar': None, 'de': 'Yogi Berra', 'es': 'Yogi Berra', 'fr': 'Yogi Berra', 'hi': None, 'it': 'Yogi Berra', 'ja': 'ヨギ・ベラ', 'pt': 'Yogi Berra'}}], 'mention': 'Yogi Berra'}"
28,Did The Beatles release Rubber Soul before Revolver?,"[{'name': 'Q1299', 'entityType': 'entity', 'label': 'The Beatles', 'mention': 'The Beatles', 'span': [4, 15]}, {'name': 'Q190640', 'entityType': 'entity', 'label': 'Rubber Soul', 'mention': 'Rubber Soul', 'span': [24, 35]}, {'name': 'Q185121', 'entityType': 'entity', 'label': 'Revolver', 'mention': 'Revolver', 'span': [43, 51]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
29,How old is Aziz Ansari?,"[{'name': 'Q369482', 'entityType': 'entity', 'label': 'Aziz Ansari', 'mention': 'Aziz Ansari', 'span': [11, 22]}]","{'answerType': 'numerical', 'answer': [38], 'mention': '38'}"
30,How many Pulitzer Prizes has Colson Whitehead won?,"[{'name': 'Q509662', 'entityType': 'entity', 'label': 'Colson Whitehead', 'mention': 'Colson Whitehead', 'span': [29, 45]}, {'name': 'Q46525', 'entityType': 'entity', 'label': 'Pulitzer Prize', 'mention': 'Pulitzer Prizes', 'span': [9, 24]}]","{'answerType': 'numerical', 'answer': [2], 'mention': '2', 'supportingEnt': [{'name': 'Q27957817', 'label': {'en': 'The Underground Railroad', 'ar': 'سكة حديدية تحت الأرض (رواية)', 'de': None, 'es': 'El ferrocarril subterráneo', 'fr': 'Underground Railroad', 'hi': None, 'it': 'La ferrovia sotterranea', 'ja': '地下鉄道', 'pt': None}}, {'name': 'Q85808003', 'label': {'en': 'The Nickel Boys', 'ar': None, 'de': None, 'es': None, 'fr': 'Nickel Boys', 'hi': None, 'it': 'I ragazzi della Nickel', 'ja': None, 'pt': None}}]}"
31,"Who has been in more movies, Kevin Hart or Dwayne Johnson?","[{'name': 'Q10738', 'entityType': 'entity', 'label': 'Dwayne Johnson', 'mention': 'Dwayne Johnson', 'span': [43, 57]}, {'name': 'Q618352', 'entityType': 'entity', 'label': 'Kevin Hart', 'mention': 'Kevin Hart', 'span': [29, 39]}]","{'answerType': 'entity', 'answer': [{'name': 'Q10738', 'label': {'en': 'Dwayne Johnson', 'ar': 'دوين جونسون', 'de': 'Dwayne Johnson', 'es': 'Dwayne Johnson', 'fr': 'Dwayne Johnson', 'hi': 'ड्वेन जॉनसन', 'it': 'Dwayne Johnson', 'ja': 'ザ・ロック', 'pt': 'Dwayne Johnson'}}], 'mention': 'Dwayne Johnson'}"
32,Did the movie Moana come out before 2015?,"[{'name': 'Q18647981', 'entityType': 'entity', 'label': 'Moana', 'mention': 'Moana', 'span': [14, 19]}, {'name': 2015, 'entityType': 'date', 'mention': '2015', 'span': [36, 40]}]","{'answerType': 'boolean', 'answer': [False], 'mention': 'No'}"
33,"Which movie made more money, Joker or Suicide Squad (2016)?","[{'name': 'Q42759035', 'entityType': 'entity', 'label': 'Joker', 'mention': 'Joker', 'span': [29, 34]}, {'name': 'Q18604504', 'entityType': 'entity', 'label': 'Suicide Squad', 'mention': 'Suicide Squad', 'span': [38, 51]}, {'name': 2016, 'entityType': 'date', 'mention': '2016', 'span': [53, 57]}]","{'answerType': 'entity', 'answer': [{'name': 'Q42759035', 'label': {'en': 'Joker', 'ar': 'جوكر', 'de': 'Joker', 'es': 'Joker', 'fr': 'Joker', 'hi': 'जोकर', 'it': 'Joker', 'ja': 'ジョーカー', 'pt': 'Joker'}}], 'mention': 'Joker'}"
