AAVE Question,SAE Question
"Which magazine started first, Arthur's Magazine or First for Women?","Which magazine was started first, Arthur's Magazine or First for Women?"
Da Oberoi family part of a hotel company dat got a head office in what city?,Is the Oberoi family part of a hotel company that has a headquarters in what city?
"Musician and satirist Allie Goertz wrote a song 'bout da ""The Simpsons"" character Milhouse, who Matt Groening named after who?","Who was the ""The Simpsons"" character Milhouse named after?"
What nationality was James Henry Miller's wife?,What was the nationality of James Henry Miller's wife?
"Cadmium Chloride kinda dissolve in dis chemical, it also called what?","What is another name for cadmium chloride, which dissolves in this chemical?"
"Which tennis player won mo' Grand Slam titles, Henri Leconte or Jonathan Stark?","Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?"
Which genus of moth in da world's seventh-largest country got only one species?,Which genus of moth in the world's seventh-largest country has only one species?
"Who was once seen as da best kick boxer in da world, but he been caught up in a bunch of controversies 'bout his ""unsportsmanlike conduct"" in da sport and crimes of violence outside da ring.","Who was once seen as the best kick boxer in the world, but he has been caught up in a bunch of controversies about his ""unsportsmanlike conduct"" in the sport and crimes of violence outside the ring?"
"Da Dutch-Belgian TV show dat ""House of Anubis"" was based on first aired in what year?","In what year did the Dutch-Belgian TV show ""House of Anubis"" first air?"
What is da length of da track where da 2013 Liqui Moly Bathurst 12 Hour was staged?,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was held?
"Fast Cars, Danger, Fire and Knives got guest appearances from which hip hop record executive?","Which hip hop record executive made guest appearances on Fast Cars, Danger, Fire and Knives?"
"Gunmen from Laredo starred which narrator of ""Frontier""?","Which narrator of ""Frontier"" did gunmen from Laredo star in?"
Where da form of music played by Die Rhöner Säuwäntzt come from?,Where did the form of music played by Die Rhöner Säuwäntzt come from?
In which football game was Malcolm Smith named Most Valuable player?,In which football game was Malcolm Smith named Most Valuable Player?
"What U.S. Highway give access to Zilpo Road, and is also known as Midland Trail?",What U.S. Highway provides access to Zilpo Road and is also known as Midland Trail?
"Da 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who got a star on da Hollywood Walk of Fame in what year?","In what year did the four-time Academy Award nominee who starred in the 1988 American comedy film, The Great Outdoors, get a star on the Hollywood Walk of Fame?"
What’s da names of da current members of dat American heavy metal band who wrote da music for Hurt Locker Da Musical?,What are the names of the current members of that American heavy metal band who wrote the music for Hurt Locker: The Musical?
"Human Error"" da season finale of da third season of a tv show dat aired on what network?","What network did the season finale of ""Human Error,"" the third season of a TV show, air on?"
"Dua Lipa, an English singer, songwriter an' model, da album spawned da number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?","In what year was Dua Lipa's eponymous debut studio album, which spawned the number-one single ""New Rules,"" released?"
"American politician Joe Heck ran and ain’t win against Democrat Catherine Cortez Masto, a woman who used to be the 32nd Attorney General of where?","In what state was Catherine Cortez Masto, who previously served as the 32nd Attorney General, from?"
"Which state the drug stores, where the CEO Warren Bryant, located?","Which state are the drug stores, where the CEO Warren Bryant, located?"
Which American politician did Donahue replace?,Which American politician did Donahue replace?
"Which band was founded first, Hole, da rock band dat Courtney Love was da frontwoman of, or The Wolfhounds?","Which band was founded first, Hole, the rock band that Courtney Love was the frontwoman of, or The Wolfhounds?"
How old is da female main protagonist of Catchin' Fire?,How old is the female main protagonist of Catching Fire?
Chang Ucchin was born in Korea durin' a time dat ended with da conclusion of what?,"In what year did the Korean War end, which concluded the time during which Chang Ucchin was born?"
Who the director of da 2003 movie dat got scenes filmed at da Quality Cafe in Los Angeles?,Who was the director of the 2003 movie that had scenes filmed at the Quality Cafe in Los Angeles?
"New Faces of 1952 a musical revue with songs and comedy skits, it helped jump start da career of which young performer, and American actress?","In what year was the musical revue ""New Faces of 1952"" created, which featured songs and comedy skits, and which young performer and American actress did it help launch their career?"
Was Pavel Urysohn and Leonid Levin known for da same kinda work?,Were Pavel Urysohn and Leonid Levin known for the same kind of work?
Is both The New Pornographers an Kings of Leon American rock bands?,Are both The New Pornographers and Kings of Leon American rock bands?
"750 7th Avenue an' 101 Park Avenue, where they at in which city?",Where are 750 7th Avenue and 101 Park Avenue located in which city?
"Which actress played da part of dat made-up character Kimberly Ann Hart, in da franchise built 'round a live action superhero TV show takin' most of its footage from da Japanese tokusatsu 'Super Sentai'?",Which actress played the role of that made-up character Kimberly Ann Hart in the franchise based on a live-action superhero TV show that uses most of its footage from the Japanese tokusatsu series 'Super Sentai'?
"Who was born first, Pablo Trapero or Aleksander Ford?","Who was born first, Pablo Trapero or Aleksander Ford?"
Is Jane and First for Women both women’s mags?,Are Jane and First for Women both women's magazines?
What profession do Nicholas Ray an' Elia Kazan got in common?,What profession did Nicholas Ray and Elia Kazan have in common?
Where da company dat bought Aixam based at?,Where is the company that bought Aixam based?
"Which documentary 'bout Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?","Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?"
"Who got inducted into da Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?","Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?"
Zimbabwe's Guwe Secondary School got a sister school in what New York county?,In what New York county is Zimbabwe's Guwe Secondary School's sister school located?
"Da Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission started by da New South Wales Government to look into drug trafficking in New South Wales, Australia, especially da links between da New South Wales Police and Mafia, da Honoured Society, which is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and still active in all of which country?","What country is the Honoured Society, which is a Calabrian 'Ndrangheta criminal confederation started in Melbourne and still active in all of it, based in?"
"Da 337th Flight Test Squadron (337 FLTS) was most recently part of da 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in da North Highlands area of Sacramento County, in which US state?","In which U.S. state is McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, situated?"
Da axial turbojet Pirna 014 was designed by engineers from dis German aircraft and aircraft engine manufacturer based in which city?,In which city is the German aircraft and aircraft engine manufacturer based that designed the axial turbojet Pirna 014?
"Which faith is tied to da University of Providence, private university accredited by da NW association of Schools and Colleges and located in da third largest city in Montana after bein' passed by Missoula?","Which faith is associated with the University of Providence, a private university accredited by the NW Association of Schools and Colleges and located in the third largest city in Montana after being passed by Missoula?"
Pauline Henry was known as da vocalist of a real popular cover song. Which album was dis song from?,Which album was this song from?
Guitars for Wounded Warriors a album dat was recorded in da village where New York county at?,What album by Guitars for Wounded Warriors was recorded in the village in New York County?
"What American country music singer-songwriter, born in May of 1942, sung a duet wit her ex-husband da same year he dropped da song ""The Battle?","What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year he released the song ""The Battle?"
"Who was born first, Francis Nethersole or Elizabeth Stuart?","Who was born first, Francis Nethersole or Elizabeth Stuart?"
What do da Hacker-Pschorr Brewery gotta limit to comply wit German regulations?,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?
"Don Barry Mason was the founder of da Psychedelic Shamanistic Institute (PSI), which other member dat's Welsh, dat died on 10 April 2016?","Who was the other member of the Psychedelic Shamanistic Institute (PSI), founded by Don Barry Mason, who was Welsh and died on April 10, 2016?"
What male actor starred in The Messenger?,What male actor starred in The Messenger?
Is Gin and tonic and Paloma both cocktails based on tequila?,Are Gin and Tonic and Paloma both cocktails based on tequila?
"Who older, Glenn Hughes or Ross Lynch?","Who is older, Glenn Hughes or Ross Lynch?"
"What year da creator of da current arrangement of da ""Simpson's Theme"" born?","In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?"
Da Southern Railway run from Vienna to Graz and da border wit Slovenia at Spielfeld via da first mountain railway built in Europe to use what kinda track?,"In what kind of track did the first mountain railway built in Europe, which runs from Vienna to Graz and the border with Slovenia at Spielfeld, use?"
What show did Cynthia Nixon win da 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series an a Screen Actors Guild Award for her performance?,What show did Cynthia Nixon win the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?
"Lee Jun-fan played what character in ""The Green Hornet"" show?","Who did Lee Jun-fan play in the ""Green Hornet"" show?"
"Da 1895/96 Football League season was da eighth in Football League history, with Everton, dey Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?","In which country is Goodison Park, the football stadium located in Walton, Liverpool, where Everton played their home games during the 1895/96 Football League season?"
"A Head Full of Dreams Tour is da seventh tour by Coldplay, and it had its first show at a stadium known as Estadio Unico and owned by who?","Who owns the stadium known as Estadio Unico, where the first show of the A Head Full of Dreams Tour took place?"
"Roger Avary (born August 23, 1965) a Canadian film and TV producer, screenwriter, and director in da American mass media industry, he wrote da screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?","Who directed the 2007 British-American 3D motion capture epic fantasy film Beowulf, which was written by Roger Avary, a Canadian film and TV producer, screenwriter, and director in the American mass media industry, born on August 23, 1965?"
"Da American Pre-Code comedy film featurin' an American actress, dancer, and singer, widely known for performin' in films and RKO's musical films, was released in what year?","In what year was the American Pre-Code comedy film featuring an American actress, dancer, and singer, who was widely known for performing in films and RKO's musical films, released?"
"An edited version of ""Just the Two of Us"" hit number two on da ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spent how many weeks at No. 1 on da ""Billboard"" Hot 100?","In what year did the song ""Just the Two of Us"" reach number two on the ""Billboard"" Hot 100, behind a song written and composed by Donna Weiss and Jackie DeShannon, which spent how many weeks at number one on the ""Billboard"" Hot 100?"
"Which band got more members, Saint Motel or Curve?","Which band had more members, Saint Motel or Curve?"
"Funnybot"" da second episode of da fifteenth season of which American animated TV show, created by Trey Parker and Matt Stone?","In what American animated TV show, created by Trey Parker and Matt Stone, is ""Funnybot"" the second episode of the fifteenth season?"
"Which private research university located in Chestnut Hill, Massachusetts, Boston College or Stanford University?","Which private research university, located in Chestnut Hill, Massachusetts, is Boston College or Stanford University?"
"What American stage, film, an' television actor who also appeared in a lotta musicals, played Samson in da 1949 film ""Samson an' Delilah""?","What American stage, film, and television actor who also appeared in a lot of musicals played Samson in the 1949 film ""Samson and Delilah""?"
Iqaluit Airport an Canadian North based outta what country?,In what country is Iqaluit Airport based?
What political party was the man who officially opened da Royal Spa Centre in '72?,What political party was the man who officially opened the Royal Spa Centre in 1972?
Which Oscar-nominated movie was wrote by da screenwriter who wrote a 1991 romantic drama based on a screenplay by Sooni Taraporevala?,Which Oscar-nominated movie was written by the screenwriter who wrote a 1991 romantic drama based on a screenplay by Sooni Taraporevala?
Is both Tim McIlrath an' Spike Slawson American punk rock musicians?,Are Tim McIlrath and Spike Slawson American punk rock musicians?
"Da Golden Globe Award winner for best actor from ""Roseanne"" starred 'longside what actress in Gigantic?","Who was the Golden Globe Award winner for best actor from ""Roseanne"" and which actress did they star alongside in ""Gigantic""?"
"Da expert mentor to da celebrities dat perform on ""Splash!"" won da 2009 FINA World Championship in da individual event at what age?","Who was the expert mentor to the celebrities who performed on ""Splash!"" and at what age did they win the 2009 FINA World Championship in the individual event?"
"Still Da Baddest da fourth studio album by American rapper Trina, comin' after da poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, who was born in Oakland, California?","What year was ""Still Da Baddest,"" the fourth studio album by American rapper Trina, released, and which American singer/songwriter, record producer, businesswoman, and television personality, who was born in Oakland, California, is featured on the track ""I Got a Thang for You,"" which followed the album's poor chart performance?"
What job Am Rong an' Alexandre Rockwell got in common?,What job did Am Rong and Alexandre Rockwell have in common?
"El Nuevo Cojo and Golf Magazine both special interest publications, but which one owned by Time Inc?","Is El Nuevo Cojo and Golf Magazine both special interest publications, but which one is owned by Time Inc?"
Who fundin’ da bowlin’ team dat includes da school bus driver for Springfield Elementary School?,Who funded the bowling team that includes the school bus driver for Springfield Elementary School?
What city George Washington University Hospital an' MedStar Washington Hospital Center be in?,In what city is George Washington University Hospital and MedStar Washington Hospital Center located?
What’s da connection between Peter O'Meara and Norman Dike?,What is the connection between Peter O'Meara and Norman Dike?
